name,capital,admitted,population,latitude,longitude,motto,description
State of Colorado,Denver,"August 1, 1876 (38th)","5,029,196 (2010)",37°N to 41°N,102°03'W to 109°03'W,Nil sine numine (Nothing without providence),"Colorado (pronounced i / k ɒ l ə ˈ r æ d oʊ / or, i / k ɒ l ə ˈ r ɑː d oʊ /) [ 5 ] is a U.S. state that encompasses much of the Rocky Mountains as well as the northeastern portion of the Colorado Plateau and the western edge of the Great Plains . Colorado is part of the Western United States and the Mountain States ."
State of New Mexico,Santa Fe,"January 6, 1912 (47th)","2,059,179 (2010)",31° 20′ N to 37° N,103° W to 109° 3′ W,Crescit eundo (It grows as it goes),"New Mexico i / n uː ˈ m ɛ k s ɨ k oʊ / is a state located in the southwest and western regions of the United States. New Mexico is also usually considered one of the Mountain States . With a population density of 16 per square mile, New Mexico is the sixth-most sparsely inhabited U.S. state."
State of Alaska,Juneau,"January 3, 1959 (49th)","710,231 (2010) [ 3 ] 626,932 (2000)",51°20'N to 71°50'N,130°W to 172°E,North to the Future,"Alaska i / ə ˈ l æ s k ə / is the largest state in the United States by area. It is situated in the northwest extremity of the North American continent, with Canada to the east, the Arctic Ocean to the north, and the Pacific Ocean to the west and south, with Russia further west across the Bering Strait . Approximately half of Alaska's 710,231 residents (as per the 2010 United States Census) live within the Anchorage metropolitan area . Alaska is the least densely populated state of the U.S. [ 5 ]"
State of Hawaii Moku ʻ āina o Hawai ʻ i,Honolulu,"August 21, 1959 (50th)","1,360,301 (2010 Census) [ 2 ] 1,211,537 (2000)",18° 55′ N to 28° 27′ N,154° 48′ W to 178° 22′ W,Ua Mau ke Ea o ka ʻ Āina i ka Pono (“The Life of the Land is Perpetuated in Righteousness”),Anthem: Hawaiʻi Ponoʻī (“Hawaii’s Own True Sons”)
State of North Dakota,Bismarck,"November 2, 1889 (39th)","(2010) 672,591",45° 56′ N to 49° 00′ N,96° 33′ W to 104° 03′ W,"Liberty and Union, Now and Forever, One and Inseparable","North Dakota i / ˌ n ɔr θ d ə ˈ k oʊ t ə / is a state located in the Midwestern region of the United States of America, along the Canadian border . The state is bordered by Canada to the north, Minnesota to the east, South Dakota to the south and Montana to the west. [ 4 ] North Dakota is the 19th-largest state by area in the U.S. It is also the third least populous, with 672,591 residents according to the 2010 census. [ 5 ] North Dakota was carved out of the Dakota Territory and admitted to the Union on November&#160;2, 1889, simultaneously with South Dakota ."
State of South Dakota,Pierre,"November 2, 1889 (40th)","814,180 (2010 Census) [ 3 ]",42° 29′ N to 45° 56′ N,96° 26′ W to 104° 03′ W,Under God the people rule,"South Dakota i / ˌ s aʊ θ d ə ˈ k oʊ t ə / is a state located in the Midwestern region of the United States. It is named after the Lakota and Dakota Sioux American Indian tribes. Once a part of Dakota Territory , South Dakota became a state on November 2, 1889. The state has an area of 77,116 square miles (199,730 km 2) and an estimated population of just over 800,000. [ 3 ] Pierre is the state capital and Sioux Falls , with a population of nearly 160,000, is South Dakota's largest city."
State of Nebraska,Lincoln,"March 1, 1867 (37th)","1,826,341",40° N to 43° N,95° 19' W to 104° 03' W,Equality Before the Law,"Nebraska i / n ə ˈ b r æ s k ə / is a state on the Great Plains of the Midwestern United States . The state's capital is Lincoln and its largest city is Omaha , on the Missouri River ."
State of Kansas,Topeka,"January 29, 1861 (34th)","2,853,116 (2010 Census) [ 2 ]",37° N to 40° N,94° 35′ W to 102° 3′ W,Ad astra per aspera,"Kansas i / ˈ k æ n z ə s / is a US state located in the Midwestern United States . [ 5 ] It is named after the Kansas River which flows through it, which in turn was named after the Kansa Native American tribe, which inhabited the area. [ 6 ] The tribe's name (natively kką:ze) is often said to mean ""people of the wind"" or ""people of the south wind,"" although this was probably not the term's original meaning. [ 7 ] [ 8 ] Residents of Kansas are called ""Kansans."""
State of Texas,Austin,"December 29, 1845 (28th)","25,145,561 (2010 Census) [ 5 ]",25° 50′ N to 36° 30′ N,93° 31′ W to 106° 39′ W,Friendship,"Texas i / ˈ t ɛ k s ə s / is the second largest U.S. state by both area and population, and the largest state in the contiguous United States . The name, based on the Caddo word ""Tejas"" meaning ""friends"" or ""allies"", was applied by the Spanish to the Caddo themselves and to the region of their settlement in East Texas . [ 10 ] Located in the South Central United States , Texas is bordered by Mexico to the south, New Mexico to the west, Oklahoma to the north, Arkansas to the northeast, and Louisiana to the east. Texas has an area of 268,820 square miles (696,200 km 2), and a growing population of 25.1 million residents. [ 11 ]"
State of Minnesota,Saint Paul,"May 11, 1858 (32nd)","5,303,925 (2010) [ 1 ] 4,919,479 (2000)",43° 30′ N to 49° 23′ N,89° 29′ W to 97° 14′ W,L’Étoile du Nord (French: The Star of the North),"Minnesota i / m ɪ n ɨ ˈ s oʊ t ə / [ 5 ] is a U.S. state located in the Midwestern United States . The twelfth largest state of the U.S., it is the twenty-first most populous, with 5.3 million residents. Minnesota was carved out of the eastern half of the Minnesota Territory and admitted to the Union as the thirty-second state on May 11, 1858. Known as the Land of 10,000 Lakes , the state's name comes from a Dakota word for ""sky-tinted water"". Those waters, together with forests, parks, and wilderness areas, offer residents and tourists a variety of outdoor recreational opportunities."
State of Wisconsin,Madison,"May 29, 1848 (30th)","(2010) 5,686,986",42° 37′ N to 47° 05′ N,86° 46′ W to 92° 53′ W,Forward,"Wisconsin i / w ɪ s ˈ k ɒ n s ɨ n / is a U.S. state located in the north-central United States and is part of the Midwest . It is bordered by Minnesota to the west, Iowa to the southwest, Illinois to the south, Lake Michigan to the east, Michigan to the northeast, and Lake Superior to the north. Wisconsin's capital is Madison , and its largest city is Milwaukee . As of 2010, the state's 72 counties have a total of 5,686,986 residents. [ 3 ]"
State of Iowa,Des Moines,"December 28, 1846 (29th)","3,046,355 (2010) [ 2 ]",40° 23′ N to 43° 30′ N,90° 8′ W to 96° 38′ W,Our liberties we prize and our rights we will maintain.,"Iowa i / ˈ aɪ . ə w ə / is a state located in the Midwestern United States , an area often referred to as the ""American Heartland"". It derives its name from the Ioway people, one of the many American Indian tribes that occupied the state at the time of European exploration. [ 5 ] Iowa was a part of the French colony of New France . After the Louisiana Purchase , settlers laid the foundation for an agriculture-based economy in the heart of the Corn Belt . [ 6 ] Iowa is often known as the ""Food Capital of the World"". [ 7 ] However, Iowa's economy, culture, and landscape are diverse."
State of Oklahoma,Oklahoma City,"November 16, 1907 (46th)","3,751,351 (2010 Census Estimate)",33°37' N to 37° N,94° 26' W to 103° W,Labor omnia vincit (Latin),"Oklahoma i / ˌ oʊ k l ə ˈ h oʊ m ə / [ 3 ] is a state located in the South Central region of the United States of America. With an estimated 3,751,351 residents as of the 2010 census and a land area of 68,667 square miles (177,847&#160;km²), [ 4 ] Oklahoma is the 28th most populous and 20th-largest state. The state's name is derived from the Choctaw words okla and humma , meaning ""red people"", [ 5 ] and is known informally by its nickname, The Sooner State. Formed by the combination of Oklahoma Territory and Indian Territory on November 16, 1907, Oklahoma was the 46th state to enter the union. Its residents are known as Oklahomans or, informally, ""Okies"" or ""Sooners"", and its capital and largest city is Oklahoma City ."
State of Missouri,Jefferson City,"August 10, 1821 (24th)","(2010) 5,988,927 [ 2 ]",36° N to 40° 37′ N,89° 6′ W to 95° 46′ W,Salus populi suprema lex esto (Latin),"Missouri (i / m ɨ ˈ z ʊər i /) [ 6 ] is a US state located in the Midwestern United States , [ 7 ] bordered by Iowa , Illinois , Kentucky , Tennessee , Arkansas , Oklahoma , Kansas and Nebraska . With a 2010 population of 5,988,927, Missouri is the 18th most populous state in the nation and the fifth most populous in the Midwest. [ 8 ] It comprises 114 counties and the independent city of St. Louis . The four largest urban areas are St. Louis , Kansas City , Springfield , and Columbia . [ 9 ] Missouri's capital is Jefferson City . The land that is now Missouri was acquired from France as part of the Louisiana Purchase and became known as the Missouri Territory . Part of the this Territory was admitted into the union as the 24th state on August 10, 1821."
State of Arizona,Phoenix,"February 14, 1912 (48th)","(2010) 6,392,017 [ 3 ]",31° 20′ N to 37° N,109° 3′ W to 114° 49′ W,Ditat Deus,"Arizona i / ær ɪ ˈ z oʊ n ə / (Navajo: Hoozdo Hahoodzo ; O'odham: Alĭ ṣonak); is a state located in the southwestern region of the United States. It is also part of the western United States and the mountain west . The capital and largest city is Phoenix . The second largest city is Tucson , followed in size by eight Phoenix metropolitan area cities: Mesa , Glendale , Chandler , Scottsdale , Gilbert , Tempe , Peoria , Surprise and then by Yuma in Yuma County."
State of Louisiana État de Louisiane Léta de la Lwizyàn,Baton Rouge,"April 30, 1812 (18th)","4,533,372 (2010 est.) [ 4 ]",28° 56′ N to 33° 01′ N,88° 49′ W to 94° 03′ W,"Union, Justice and Confidence Union, justice, et confiance (French) Lunyon, Jistis, é Konfyans (Louisiana Creole)","Louisiana (i / l uː ˌ iː z i ˈ æ n ə / or i / ˌ l uː z i ˈ æ n ə / ; French: État de Louisiane , [lwizjan] &#160; (listen) ; Louisiana Creole: Léta de la Lwizyàn) is a state located in the southern region of the United States of America . Its capital is Baton Rouge and largest city is New Orleans . Louisiana is the only state in the U.S. with political subdivisions termed parishes , which are local governments equivalent to counties . The largest parish by population is East Baton Rouge Parish , and the largest by land area is Cameron Parish ."
State of Mississippi,Jackson,"December 10, 1817 (20th)","2,967,297 (2010 US Census) [ 1 ]",30° 12′ N to 35° N,88° 06′ W to 91° 39′ W,Virtute et armis,"Mississippi i / ˌ m ɪ s ɨ ˈ s ɪ p i / is a U.S. state located in the Southern United States . Jackson is the state capital and largest city. The name of the state derives from the Mississippi River , which flows along its western boundary, whose name comes from the Ojibwe word misi-ziibi (""Great River""). The state is heavily forested outside of the Mississippi Delta area, which had been cleared for cotton cultivation in the 19th century. Today its catfish aquaculture farms produce the majority of farm-raised catfish consumed in the United States. [ 6 ] The state symbol is the magnolia grandiflora tree."
State of Illinois,Springfield,"December 3, 1818 (21st)","12,830,632 (2010) [ 3 ]",36° 58′ N to 42° 30′ N,87° 30′ W to 91° 31′ W,"State sovereignty, national union","Illinois (i / ˌ ɪ l ɨ ˈ n ɔɪ / il -i- noy) is the fifth-most populous state of the United States of America , and is often noted for being a microcosm of the entire country. [ 8 ] With Chicago in the northeast, small industrial cities and great agricultural productivity in central and northern Illinois, and natural resources like coal, timber, and petroleum in the south, Illinois has a broad economic base. Illinois is a major transportation hub. The Port of Chicago connects the state to other global ports from the Great Lakes , via the St. Lawrence Seaway , to the Atlantic Ocean; as well as the Great Lakes to the Mississippi River , via the Illinois River . For decades, O'Hare International Airport has ranked as one of the world's busiest airports. As the ""most average state"", [ 8 ] Illinois has long had a reputation as a bellwether both in social and cultural terms [ 8 ] and politics ."
State of Indiana,Indianapolis,"December 11, 1816 (19th)","6,483,802",37° 46′ N to 41° 46′ N,84° 47′ W to 88° 6′ W,The Crossroads of America,"Indiana i / ɪ n d i ˈ æ n ə / is a US state, admitted to the United States as the 19th on December 11, 1816. It is located in the Midwestern United States and Great Lakes Region . With 6,483,802 residents, the state is ranked 15th in population and 16th in population density. [ 4 ] Indiana is ranked 38th in land area and is the smallest state in the continental US west of the Appalachian Mountains . Its capital and largest city is Indianapolis , the second largest of any state capital and largest state capital east of the Mississippi River."
State of Michigan,Lansing,"January 26, 1837 (26th)","9,883,640 (2010) [ 2 ]",41° 41' N to 48° 18' N,82° 7' W to 90° 25' W,"Si quaeris peninsulam amoenam circumspice (Latin:If you seek a pleasant peninsula, look about you)","Michigan i / ˈ m ɪ ʃ ɨ ɡ ən / is a U.S. state located in the Great Lakes Region of the United States of America . The name Michigan is the French form of the Ojibwa word mishigamaa , meaning ""large water"" or ""large lake"". [ 1 ] [ 5 ]"
State of Ohio,Columbus [ 2 ] [ 3 ],"March 1, 1803 (17th)","11,536,504 (2010 census) [ 6 ]",38° 24′ N to 41° 59′ N,80° 31′ W to 84° 49′ W,"With God, all things are possible",(see footnote [ 4 ])
Commonwealth of Kentucky,Frankfort,"June 1, 1792 (15th)","4,339,367 (2010 Census) [ 2 ]",36° 30′ N to 39° 09′ N,81° 58′ W to 89° 34′ W,"United we stand, divided we fall","The Commonwealth of Kentucky i / k ɨ n ˈ t ʌ k i / is a state located in the East Central United States of America . As classified by the United States Census Bureau , Kentucky is a Southern state , more specifically in the East South Central region . Kentucky is one of four U.S. states constituted as a commonwealth (the others being Virginia , Pennsylvania , and Massachusetts). Originally a part of Virginia , in 1792 it became the 15th state to join the Union. Kentucky is the 37th largest state in terms of total area, the 36th largest in land area, and ranks 26th in population."
State of Tennessee,Nashville,"June 1, 1796 (16th)","6,346,105(2010) [ 1 ]",34° 59′ N to 36° 41′ N,81° 39′ W to 90° 19′ W,Agriculture and Commerce,"Tennessee i / t ɛ n ɨ ˈ s iː / (Cherokee: ᏔᎾᏏ) is a U.S. state located in the Southeastern United States . It has a population of 6,346,105, making it the nation's 17th-largest state by population, and covers 42,169 square miles (109,220 km 2), making it the 36th-largest by total land area. [ 4 ] Tennessee is bordered by Kentucky and Virginia to the north, North Carolina to the east, Georgia , Alabama , and Mississippi to the south, and Arkansas and Missouri to the west. The Appalachian Mountains dominate the eastern part of the state, and the Mississippi River forms the state's western border. Tennessee's capital and second largest city is Nashville , which has a population of 626,144. [ 5 ] Memphis is the state's largest city, with a population of 670,902. [ 6 ]"
State of Alabama,Montgomery,"December 14, 1819 (22nd)","4,779,736 (2010) [ 1 ] 4,447,100 (2000)",30° 11′ N to 35° N,84° 53′ W to 88° 28′ W,Audemus jura nostra defendere (Latin),"Alabama i / ˌ æ l ə ˈ b æ m ə / is a state located in the southeastern region of the United States . It is bordered by Tennessee to the north, Georgia to the east, Florida and the Gulf of Mexico to the south, and Mississippi to the west. Alabama ranks 30th in total land area and ranks second in the size of its inland waterways. The state ranks 23rd in population with 4.7&#160;million residents in 2009. [ 5 ]"
State of Georgia,Atlanta,"January 2, 1788 (4th)","9,687,653 (2010) [ 1 ]",30.356&#160; to 34.985° N,80.840&#160; to 85.605° W,"Wisdom, Justice, Moderation","Georgia i / ˈ dʒ ɔr dʒ ⁱ ə / is a state located in the southeastern United States . It was established in 1732, the last of the original Thirteen Colonies . The state is named after King George&#160;II of Great Britain. Georgia was the fourth state to ratify the United States Constitution , on January&#160;2, 1788. It declared its secession from the Union on January&#160;21, 1861, and was one of the original seven Confederate states . It was the last state to be restored to the Union, on July&#160;15, 1870."
State of Florida,Tallahassee,"March 3, 1845 (27th)","18,801,310 (2010 Census) [ 4 ]",24° 27′ N to 31° 00' N,80° 02′ W to 87° 38′ W,In God We Trust,"Florida i / ˈ f l ɒr ɪ d ə / is a state in the southeastern United States , located on the nation's Atlantic and Gulf coasts. It is bordered to the west by the Gulf of Mexico , to the north by Alabama and Georgia and to the east by the Atlantic Ocean . With a population of 18,801,310 as measured by the 2010 census , it is the fourth most populous state in the country. [ 7 ] [ 8 ] With an area of 65,755 square miles (170,305 km 2), Florida ranks 22nd in size among the 50 U.S. states. The state capital is Tallahassee , its largest city is Jacksonville , and the South Florida metropolitan area is the largest metropolitan area in the southeastern U.S."
State of South Carolina,Columbia,"May 23, 1788 (8th)","4,625,384 (2010 census) [ 1 ]",32° 2′ N to 35° 13′ N,78° 32′ W to 83° 21′ W,"Dum spiro spero * (Latin) Animis opibusque parati † (Latin), Prepared in Mind and Resources","South Carolina i / ˌ s aʊ θ k ær ə ˈ l aɪ n ə / is a state in the Deep South of the United States that borders Georgia to the south, North Carolina to the north, and the Atlantic Ocean to the east. Originally part of the Province of Carolina , the Province of South Carolina was one of the 13 colonies that declared independence from the British Crown during the American Revolution . The colony was originally named by King Charles II of England in honor of his father Charles I , as Carolus is Latin for Charles . South Carolina was the first state to vote to secede from the Union and was the founding state of the Confederate States of America . According to the 2010 United States Census , the state is ranked 24th among the U.S. states by population, at 4,625,384 people. South Carolina contains 46 counties and its capital is Columbia ."
State of North Carolina,Raleigh,"November 21, 1789 (12th)","9,535,483 (2010) [ 2 ]",33° 50′ N to 36° 35′ N,75° 28′ W to 84° 19′ W,Esse quam videri (official); First in Flight,"North Carolina (i / ˌ n ɔr θ k ær ə ˈ l aɪ n ə /) is a state located in the southeastern United States. The state borders South Carolina and Georgia to the south, Tennessee to the west and Virginia to the north. North Carolina contains 100 counties . [ 6 ] Its capital is Raleigh , and its largest city is Charlotte . In the past five decades, North Carolina's economy has undergone a transition from heavy reliance upon tobacco and furniture making to a more diversified economy with engineering, biotechnology , and finance sectors. [ 7 ] [ 8 ]"
Commonwealth of Virginia,Richmond,"June 25, 1788 (10th)","8,001,024",36°&#160;32′&#160;N to 39°&#160;28′&#160;N,75°&#160;15′&#160;W to 83°&#160;41′&#160;W,Sic Semper Tyrannis (Latin) [ 1 ],"The Commonwealth of Virginia (commonly known as Virginia (i / v ər ˈ dʒ ɪ n j ə /)), is a U.S. state on the Atlantic Coast of the Southern United States . Virginia is nicknamed the ""Old Dominion"" and sometimes the ""Mother of Presidents"" after the eight U.S. presidents born there. The geography and climate of the Commonwealth are shaped by the Blue Ridge Mountains and the Chesapeake Bay , which provide habitat for much of its flora and fauna. The capital of the Commonwealth is Richmond ; Virginia Beach is the most populous city and Fairfax County the most populous political subdivision. The Commonwealth's population is over eight million. [ 2 ]"
State of West Virginia,Charleston,"June 20, 1863 (35)","1,859,815 (2010 Census)",37° 12′ N to 40° 39′ N,77° 43′ W to 82° 39′ W,Montani semper liberi (mountaineers are always free),"West Virginia i / ˌ w ɛ s t v ər ˈ dʒ ɪ n j ə / is a state in the Appalachian and Southeastern [ 4 ] regions of the United States, bordered by Virginia to the southeast, Kentucky to the southwest, Ohio to the northwest, Pennsylvania to the northeast and Maryland to the east. The capital and largest city is Charleston ."
Commonwealth of Pennsylvania,Harrisburg,"December 12, 1787 (2nd)","12,702,379(2010.) [ 2 ]",39°43′ N to 42° 16′ N,74°41′ W to 80°31′ W,"Virtue, Liberty and Independence","The Commonwealth of Pennsylvania i / ˌ p ɛ n s ɨ l ˈ v eɪ n j ə / is a U.S. state that is located in the Northeastern and Mid-Atlantic regions of the United States. The state borders Delaware and Maryland to the south, West Virginia to the southwest, Ohio to the west, New York and Ontario, Canada , to the north, and New Jersey to the east. The state's four most populous cities are Philadelphia , Pittsburgh , Allentown , and Erie . The state capital is Harrisburg ."
State of New York,Albany,"July 26, 1788 (11th)","19,378,102 (2010 Census) [ 3 ]",40° 30′ N to 45° 1′ N,71° 51′ W to 79° 46′ W,Excelsior (Latin) [ 1 ] Ever upward,"New York (/ nj uː ˈ j ɔr k / ; locally IPA:&#160; [nɪu&#160;ˈjɔək] or [nuː&#160;ˈjɔrk] &#160; (listen)) is a state in the Northeastern region of the United States. It is the nation's third most populous state. New York is bordered by New Jersey and Pennsylvania to the south, and by Connecticut , Massachusetts and Vermont to the east. The state has a maritime border with Rhode Island east of Long Island , as well as an international border with the Canadian provinces of Ontario to the north and west, and Quebec to the north. The state of New York is often referred to as New York State to distinguish it from the city of New York."
State of Vermont,Montpelier,"March 4, 1791 (14th)","(2010) 625,741",42° 44′ N to 45° 1′ N,71° 28′ W to 73° 26′ W,Freedom and Unity,"Vermont i / v ər . m ɒ n t ˈ / is a state in the New England region of the northeastern United States of America . The state ranks 43rd in land area, 9,250 square miles (24,000 km 2), and 45th in total area. Its population according to the 2010 census, 630,337, [ 4 ] is the second smallest in the country, larger only than Wyoming . It is the only New England state not bordering the Atlantic Ocean. Lake Champlain forms half of Vermont's western border, which it shares with the state of New York . The Green Mountains are within the state. It is bordered by Massachusetts to the south, New Hampshire to the east, New York to the west, and the Canadian province of Quebec to the north."
State of New Jersey,Trenton,"December 18, 1787 (3rd)","8,791,894 (2010 Census) [ 4 ]",38° 56′ N to 41° 21′ N,73° 54′ W to 75° 34′ W,Liberty and prosperity,"New Jersey i / nj uː ˈ dʒ ɜr z i / is a state in the Northeastern and Middle Atlantic regions of the United States . As of the United States 2010 Census [update] , its population was 8,791,894. [ 7 ] It is bordered on the north and east by the state of New York , on the southeast and south by the Atlantic Ocean , on the west by Pennsylvania and on the southwest by Delaware . New Jersey lies mostly within the sprawling metropolitan areas of New York City and Philadelphia and is the most densely populated state in the United States. It is also the third wealthiest by 2009-2010 median household income. [ 8 ]"
State of Maine,Augusta,"March 15, 1820 (23rd)","1,328,361",42° 58′ N to 47° 28′ N,66° 57′ W to 71° 5′ W,""" Dirigo "" (Latin for ""I lead"" or ""I direct"")","Maine i / ˈ m eɪ n / is a state in the New England region of the northeastern United States , bordered by the Atlantic Ocean to the east and south, New Hampshire to the west, and the Canadian provinces of Quebec to the northwest and New Brunswick to the northeast. Maine is both the northernmost and easternmost portion of New England. It is known for its scenery—its jagged, mostly rocky coastline, its low, rolling mountains, its heavily forested interior and picturesque waterways—as well as for its seafood cuisine, especially lobsters and clams ."
State of New Hampshire,Concord,"June 21, 1788 (9th)","1,316,470 (2010 census) [ 1 ] 1,235,786 (2000)",42° 42′ N to 45° 18′ N,70° 36′ W to 72° 33′ W,Live Free or Die,"New Hampshire i / n uː ˈ h æ m p ʃ ər / is a state in the New England region of the northeastern United States of America. The state was named after the southern English county of Hampshire . It is bordered by Massachusetts to the south, Vermont to the west, Maine and the Atlantic Ocean to the east, and the Canadian province of Quebec to the north. New Hampshire ranks 44th in land area, 46th in total area of the 50 states, and 42nd in population. [ 7 ]"
